model,DeltaQAICc,weight,npar,QDeviance
Phi(AgeClass3 * NAO + Sex)p(1),48.23744800986515,1.3405844239033896e-11,8,1326.356971585062
Phi(AgeClass3 * NAO + Leucocytozoon)p(1),48.238734017572824,1.3397227000280008e-11,8,1326.3582575927703
Phi(AgeClass3 * NAO + Juvenile:Leucocytozoon)p(1),48.58557834421208,1.1264155247474766e-11,9,1324.6935634815097
Phi(AgeClass3 * NAO + Morph)p(1),48.76124699714455,1.0316981794225773e-11,9,1324.8692321344413
Phi(AgeClass3 + Juvenile:Body condition)p(Time),53.60828639313149,9.141794038264825e-13,17,4190.899703891892
Phi(AgeClass3 + Body condition)p(Time),56.61282906857741,2.0351821281574104e-13,17,4193.904246567338
Phi(AgeClass3 * Body condition)p(Time),57.61573065851462,1.2326107954555031e-13,19,4190.8594947175525
Phi(AgeClass3 + Juvenile:Leucocytozoon)p(Time),63.596309282818765,6.196690700844869e-15,18,1321.542330193489
Phi(AgeClass3 + Juvenile:Hatch date)p(Time),63.606396186971324,6.165516666716804e-15,17,4200.897813685732
Phi(AgeClass3)p(Time),64.41716363907472,4.11067896637341e-15,16,1326.408240425693
Phi(AgeClass3 + Leucocytozoon)p(Time),65.71802084373394,2.145043026526984e-15,17,1325.6871330368167
Phi(AgeClass3 + Juvenile:Nestling age)p(Time),66.19967359735438,1.6859567964256494e-15,17,4203.491091096115
Phi(AgeClass3 + Sex)p(Time),66.22470788073952,1.6649849638367512e-15,17,1326.1939058076703
Phi(AgeClass3 + Juvenile:Rank)p(Time),66.38811659351995,1.5343575147794552e-15,17,4203.679534092281
Phi(AgeClass3 + Morph)p(Time),66.48665447378153,1.4605934067760317e-15,18,1324.432675384452
Phi(AgeClass3 + Juvenile:Nestling age:Leucocytozoon)p(Time),66.50380124322328,1.448124703448021e-15,18,4201.772041725724
Phi(AgeClass3 + Juvenile:Body condition)p(1),124.93856812156446,0,5,4286.407209682914
Phi(AgeClass3 + Body condition)p(1),128.377609934666,0,5,4289.846251496016
Phi(AgeClass3 * Body condition)p(1),128.73170693107932,0,7,4286.183701543238
Phi(AgeClass3 + Juvenile:Hatch date)p(1),133.80799181689508,0,5,4295.276633378245
Phi(AgeClass3 + Juvenile:Leucocytozoon)p(1),136.41032300326242,0,6,1418.5490637706564
Phi(AgeClass3)p(1),137.02921520174095,0,4,1423.182035139993
Phi(AgeClass3 + Leucocytozoon)p(1),138.16704354439753,0,5,1422.313465533917
Phi(AgeClass3 + Sex)p(1),138.80798978613348,0,5,1422.9544117756527
Phi(AgeClass3 + Juvenile:Nestling age)p(1),138.81553436468857,0,5,4300.284175926038
Phi(AgeClass3 + Juvenile:Nestling age:Leucocytozoon)p(1),138.92352500035213,0,6,4298.384485339577
Phi(AgeClass3 + Juvenile:Rank)p(1),138.9513367786676,0,5,4300.419978340017
Phi(AgeClass3 + Morph)p(1),139.33298985462352,0,6,1421.4717306220173
