Ring,Date,Year,Month,Day,HatchDate,DaysSinceHatching,study_area,Dist2Nest
3108920,2012-11-18T00:00:00Z,2012,11,323,2009-05-14,1284,TRUE,2.6203807621063717
3108920,2012-11-26T00:00:00Z,2012,11,331,2009-05-14,1292,TRUE,2.6203807621063717
3108920,2012-12-01T00:00:00Z,2012,12,336,2009-05-14,1297,TRUE,2.6203807621063717
3108920,2012-12-22T00:00:00Z,2012,12,357,2009-05-14,1318,FALSE,87.40426883054192
3108920,2013-03-17T00:00:00Z,2013,03,76,2009-05-14,1403,FALSE,86.97550849736459
3406194,2010-11-15T00:00:00Z,2010,11,319,2010-05-08,191,TRUE,0.48562813290996676
3109022,2010-11-30T00:00:00Z,2010,11,334,2010-04-30,214,FALSE,32.575529390633385
3143845,2010-11-30T00:00:00Z,2010,11,334,2007-05-09,1301,FALSE,18.467503925928153
3406221,2010-11-30T00:00:00Z,2010,11,334,2010-05-07,207,FALSE,15.935334251031957
3406181,2010-12-01T00:00:00Z,2010,12,335,2010-05-07,208,FALSE,35.10825605151542
3406200,2010-12-02T00:00:00Z,2010,12,336,2010-04-28,218,TRUE,4.96066403553357
3406200,2012-02-03T00:00:00Z,2012,02,34,2010-04-28,646,TRUE,8.57337431047462
3406200,2012-03-04T00:00:00Z,2012,03,64,2010-04-28,676,TRUE,4.015864608359219
3406200,2017-01-28T00:00:00Z,2017,01,28,2010-04-28,2467,FALSE,176.2316638074801
3406166,2010-12-05T00:00:00Z,2010,12,339,2010-05-08,211,FALSE,51.36855927353633
3406166,2011-01-08T00:00:00Z,2011,01,8,2010-05-08,245,FALSE,51.36855927353633
3109074,2010-12-13T00:00:00Z,2010,12,347,2010-05-04,223,FALSE,30.94373233094197
3109049,2010-12-18T00:00:00Z,2010,12,352,2010-05-06,226,FALSE,235.93007820143092
3109049,2013-01-11T00:00:00Z,2013,01,11,2010-05-06,981,FALSE,35.671503122581356
3109049,2013-02-01T00:00:00Z,2013,02,32,2010-05-06,1002,FALSE,35.671503122581356
3109049,2013-02-10T00:00:00Z,2013,02,41,2010-05-06,1011,FALSE,34.282356576337435
3109049,2013-03-02T00:00:00Z,2013,03,61,2010-05-06,1031,FALSE,35.09984627979445
3109049,2014-11-11T00:00:00Z,2014,11,315,2010-05-06,1650,FALSE,37.04249767043405
3108942,2011-01-04T00:00:00Z,2011,01,4,2009-05-18,596,FALSE,42.89366581907254
3108942,2011-01-16T00:00:00Z,2011,01,16,2009-05-18,608,FALSE,42.89366581907254
3108942,2011-01-15T00:00:00Z,2011,01,15,2009-05-18,607,FALSE,44.69401533559547
3108942,2012-02-11T00:00:00Z,2012,02,42,2009-05-18,999,FALSE,44.69401533559547
3108942,2013-03-10T00:00:00Z,2013,03,69,2009-05-18,1392,FALSE,42.8941920298101
3403651,2011-01-05T00:00:00Z,2011,01,5,2010-05-07,243,FALSE,148.08783571831714
3406164,2011-01-29T00:00:00Z,2011,01,29,2010-05-05,269,FALSE,199.67469944626407
3406164,2011-03-23T00:00:00Z,2011,03,82,2010-05-05,322,FALSE,199.44153597298194
3406164,2012-01-11T00:00:00Z,2012,01,11,2010-05-05,616,FALSE,199.4429499372562
3403676,2011-02-11T00:00:00Z,2011,02,42,2010-05-13,274,FALSE,290.4190319212735
3406152,2011-02-14T00:00:00Z,2011,02,45,2010-05-06,284,FALSE,92.1555947101112
3109078,2011-02-26T00:00:00Z,2011,02,57,2010-05-04,298,FALSE,46.39641408871661
3403685,2011-03-08T00:00:00Z,2011,03,67,2010-05-15,297,FALSE,48.38615290320979
3403685,2011-03-14T00:00:00Z,2011,03,73,2010-05-15,303,FALSE,48.83845031524426
3403703,2011-03-08T00:00:00Z,2011,03,67,2010-05-12,300,FALSE,25.089380622617195
3403671,2011-03-24T00:00:00Z,2011,03,83,2010-05-12,316,TRUE,9.989253299985313
3403661,2011-03-28T00:00:00Z,2011,03,87,2010-05-11,321,TRUE,13.697506746621817
3403709,2011-03-30T00:00:00Z,2011,03,89,2010-05-11,323,FALSE,255.33397435256308
3406204,2011-04-14T00:00:00Z,2011,04,104,2010-05-08,341,FALSE,98.47806378560254
3403697,2011-04-29T00:00:00Z,2011,04,119,2010-05-18,346,FALSE,74.15947091479376
3403697,2016-04-24T00:00:00Z,2016,04,115,2010-05-18,2168,FALSE,73.01658415940395
3406465,2011-08-05T00:00:00Z,2011,08,217,2011-05-12,85,FALSE,3.9384423089166565
