model,DeltaQAICc,weight,npar,QDeviance
S(AgeClass3 * NAO + Leucocytozoon)p(Time)r(Ageclass2)F(1),24.338594767598806,2.3376290322345126e-6,22,1832.794780297447
S(AgeClass3 * NAO + Juvenile:Leucocytozoon)p(Time)r(Ageclass2)F(1),24.487502536112515,2.169904803762632e-6,23,1830.9176377128022
S(AgeClass3 + NAO + Time + Juvenile:Leucocytozoon)p(time)r(1)F(1),24.924395905321035,1.7440964236560325e-6,33,1811.0298714418427
S(AgeClass3 * NAO + Time + Juvenile:Nestling age:Leucocytozoon)p(time)r(1)F(1),24.960667130200818,1.7127512578633348e-6,35,5719.6105884893395
S(AgeClass3 * NAO + Time)p(time)r(1)F(1),25.04236567908083,1.6441963533924192e-6,33,1811.1477554817552
S(AgeClass3 + NAO + Time + Juvenile:Leucocytozoon)p(1)r(Ageclass2)F(1),25.102397612384266,1.5955775311923044e-6,22,1833.5585831422334
S(AgeClass3 * NAO + Time + Juvenile:Nestling age:Leucocytozoon)p(1)r(Ageclass2)F(1),25.308940014577274,1.4390232115718622e-006,24,5742.335030562909
S(AgeClass3 * NAO + Juvenile:Body condition)p(Time)r(1)F(1),25.450864329207434,1.340446008582413e-6,21,5748.555364113324
S(AgeClass3 + NAO + Body condition)p(Time)r(1)F(1),25.472222732460978,1.326207279836029e-6,19,5752.623263695705
S(AgeClass3 * NAO + Time + Juvenile:Hatch date)p(time)r(1)F(1),25.54560416187178,1.2784296444540542e-6,34,5722.235501689343
S(AgeClass3 * Body condition + NAO)p(Time)r(1)F(1),25.804430715097624,1.123242068642472e-6,21,5748.908930499214
S(AgeClass3 * NAO + Time)p(1)r(Ageclass2)F(1),25.847167543091018,1.099494791520689e-6,22,1834.3033530729394
S(AgeClass3 * NAO + Time + Juvenile:Hatch date)p(1)r(Ageclass2)F(1),26.614902220760996,7.489998131222407e-7,23,5745.668276808555
S(AgeClass3 * NAO + Time + Juvenile:Nestling age)p(time)r(1)F(1),26.824067291454412,6.746244722604017e-7,34,5723.513964818926
S(AgeClass3 * NAO + Time + Leucocytozoon)p(time)r(1)F(1),26.889053547639378,6.530561220795206e-7,34,1810.9556259301596
S(AgeClass3 * NAO + Time + Sex)p(time)r(1)F(1),27.049975978850853,6.025688031648995e-7,34,1811.116548361371
S(AgeClass3 * NAO + Time + Juvenile:Rank)p(time)r(1)F(1),27.06840875600119,5.970408081365426e-7,34,5723.758306283473
S(AgeClass3 * NAO + Time + Juvenile:Nestling age)p(1)r(Ageclass2)F(1),27.607528703749267,4.55969304483753e-7,23,5746.660903291543
S(AgeClass3 * NAO + Time + Sex)p(1)r(Ageclass2)F(1),27.6670279937116,4.426041692770793e-7,23,1834.0970774365546
S(AgeClass3 * NAO + Time + Morph)p(time)r(1)F(1),27.698234605437392,4.3575168081119046e-7,35,1809.7249165534718
S(AgeClass3 * NAO + Time + Leucocytozoon)p(1)r(Ageclass2)F(1),27.757562936364593,4.230153116783764e-7,23,1834.1876123792074
S(AgeClass3 * NAO + Time + Juvenile:Rank)p(1)r(Ageclass2)F(1),27.841239171240886,4.056822666571103e-7,23,5746.894613759035
S(AgeClass3 * NAO + Time + Morph)p(1)r(Ageclass2)F(1),28.323427816299045,3.187719434327699e-7,24,1832.7261932196798
S(AgeClass3 * NAO + Time + Juvenile:Leucocytozoon)p(time)r(1)F(1),28.39139276012338,3.081212777295211e-7,35,1810.4180747081582
S(AgeClass3 + NAO + Juvenile:Hatch date)p(Time)r(1)F(1),28.498370337403685,2.9207326422960716e-7,19,5755.649411300647
S(AgeClass3 * NAO + Time + Juvenile:Leucocytozoon)p(1)r(Ageclass2)F(1),29.122638739982904,2.1376354503697886e-7,24,1833.5254898772107
S(AgeClass3 + Time + Juvenile:Body condition)p(1)r(1)F(1),30.247940957400715,1.2178039304727512e-7,19,5757.3989819206445
S(AgeClass3 + NAO + Juvenile:Nestling age:Leucocytozoon)p(Time)r(1)F(1),30.47845868917375,1.0852282286080582e-7,20,5755.606801578584
S(AgeClass3 + NAO)p(Time)r(1)F(1),30.541886688989507,1.0513513260470582e-7,18,1847.0911565211184
S(AgeClass3 * NAO + Juvenile:Hatch date)p(Time)r(1)F(1),32.01490487308365,5.0336849728029216e-8,21,5755.1194046572
S(AgeClass3 + NAO + Time + Juvenile:Body condition)p(1)r(1)F(1),32.27063903123417,4.429493466109567e-8,20,5757.3989819206445
S(AgeClass3 + NAO + Morph)p(Time)r(1)F(1),32.455566939665005,4.038289784051219e-8,20,1844.9605846841232
S(AgeClass3 + NAO + Sex)p(Time)r(1)F(1),32.49099560193463,3.9673840595006205e-8,19,1847.018797154074
S(AgeClass3 + NAO + Juvenile:Nestling age)p(Time)r(1)F(1),32.52520340697083,3.90010333100933e-8,19,5759.676244370215
S(AgeClass3 + NAO + Juvenile:Rank)p(Time)r(1)F(1),32.56044001817372,3.831991884618725e-8,19,5759.7114809814175
S(AgeClass3 + NAO + Leucocytozoon)p(Time)r(1)F(1),32.562754832048086,3.827559276288882e-8,19,1847.090556384188
S(AgeClass3 + NAO + Juvenile:Leucocytozoon)p(Time)r(1)F(1),32.98137262459841,3.1047041812305936e-8,20,1845.486390369057
S(AgeClass3 + Time + Body condition)p(1)r(1)F(1),32.99159553578829,3.0888751129264695e-8,19,5760.142636499032
S(AgeClass3 * Body condition + Time)p(1)r(1)F(1),33.62267170979703,2.2530140476159517e-8,21,5756.727171493913
S(AgeClass3 * NAO + Juvenile:Nestling age:Leucocytozoon)p(Time)r(1)F(1),34.12751397424745,1.750406005687621e-8,22,5755.2070246490475
S(AgeClass3 * NAO)p(Time)r(1)F(1),34.15781247600262,1.7240885144282677e-8,20,1846.6628302204617
S(AgeClass3 + NAO + Time + Body condition)p(1)r(1)F(1),35.014293609621745,1.1235102620357643e-8,20,5760.142636499032
S(AgeClass3 * Body condition + Time + NAO)p(1)r(1)F(1),35.6476608191133,8.18546020649935e-9,22,5756.727171493913
S(AgeClass3 * NAO + Sex)p(Time)r(1)F(1),36.0969505402536,6.5385444155500585e-9,21,1846.5781251794187
S(AgeClass3 * NAO + Morph)p(Time)r(1)F(1),36.139944569787986,6.399485263164968e-9,22,1844.596130099637
S(AgeClass3 * NAO + Juvenile:Nestling age)p(Time)r(1)F(1),36.156106894827644,6.347978380759132e-9,21,5759.260606678944
S(AgeClass3 * NAO + Juvenile:Rank)p(Time)r(1)F(1),36.17779755817264,6.2795044322755194e-9,21,5759.282297342289
S(AgeClass3 * NAO + Leucocytozoon)p(Time)r(1)F(1),36.180283839740696,6.271702974372225e-9,21,1846.6614584789063
