Model,DeltaQAICc,weight,npar,QDeviance
S(~AGE * BCI + AGE * NAO + AGE * EKTO)p(~TIME)r(~AGE2)F(~SEX),9.546100446,0.00139555,33,4968.885987
S(~AGE + BCI + NAO + EKTO + ENDO + MORPH + SEX)p(~TIME + AGE)r(~AGE2)F(~1),9.580348965,0.001371856,28,4979.111477
S(~AGE * BCI + AGE * NAO + AGE * EKTO + MORPH + SEX)p(~TIME + AGE)r(~AGE2)F(~1),9.596805093,0.001360614,36,4962.806905
S(~AGE * BCI + AGE * NAO + AGE * EKTO)p(~TIME + AGE)r(~AGE2)F(~SEX),9.626087448,0.001340838,35,4964.880706
S(~AGE * BCI + AGE * NAO + AGE * EKTO + MORPH)p(~TIME)r(~AGE2)F(~SEX),9.661106602,0.001317565,34,4966.958987
S(~AGE + BCI + NAO + EKTO + SEX)p(~TIME)r(~AGE2)F(~AGE + SEX),9.704225963,0.001289463,28,4979.235354
S(~AGE + BCI + NAO + EKTO + SEX)p(~TIME + AGE)r(~AGE2)F(~AGE + SEX),9.749286332,0.001260736,30,4975.207672
S(~AGE + BCI + NAO + EKTO + ENDO + MORPH)p(~TIME + AGE)r(~AGE2)F(~SEX),9.820860003,0.001216416,28,4979.351988
S(~AGE + BCI + NAO + EKTO)p(~TIME)r(~AGE2)F(~AGE),9.83015046,0.001210779,26,4983.429028
S(~AGE * BCI + AGE * NAO + AGE * EKTO + MORPH)p(~TIME + AGE)r(~AGE2)F(~SEX),9.985087427,0.001120523,36,4963.195187
