Model,DeltaQAICc,weight,npar,QDeviance
S(~AGE * BCI + AGE * NAO + AGE * ENDO)p(~TIME + AGE)r(~AGE2)F(~AGE),12.86925502,2.58E-04,37,4964.033578
S(~AGE * BCI + AGE * NAO + AGE * EKTO + SEX)p(~TIME)r(~AGE2)F(~AGE),12.96664773,2.46E-04,36,4966.176747
S(~AGE * BCI + AGE * NAO + AGE * ENDO)p(~TIME)r(~AGE2)F(~AGE + SEX),12.98120832,2.44E-04,36,4966.191308
S(~AGE * BCI + AGE * NAO + AGE * EKTO + SEX)p(~TIME)r(~AGE2)F(~AGE + SEX),13.05615323,2.35E-04,37,4964.220477
S(~AGE * NAO)p(~TIME + AGE)r(~AGE2)F(~AGE),13.0965713,2.30E-04,29,823.5277146
S(~AGE + BCI + NAO + EKTO + MORPH)p(~TIME + AGE)r(~AGE2)F(~AGE + SEX),13.23270155,2.15E-04,30,4978.691087
S(~AGE + NAO + SEX)p(~TIME)r(~AGE2)F(~SEX),13.3875834,1.99E-04,23,836.0145011
S(~AGE * BCI + AGE * NAO + AGE * EKTO)p(~TIME)r(~AGE2)F(~AGE + SEX),13.45543545,1.92E-04,36,4966.665535
S(~AGE * BCI + AGE * NAO + AGE * EKTO + AGE * ENDO)p(~TIME)r(~AGE2)F(~1),13.49747448,1.88E-04,36,4966.707574
S(~AGE * BCI + AGE * NAO + AGE * ENDO)p(~TIME + AGE)r(~AGE2)F(~AGE + SEX),13.52205814,1.86E-04,38,4962.639346
S(~AGE * BCI + AGE * NAO + AGE * EKTO + AGE * ENDO)p(~TIME + AGE)r(~AGE2)F(~1),13.5672333,1.82E-04,38,4962.684521
S(~AGE * BCI + AGE * NAO + AGE * EKTO)p(~TIME + AGE)r(~AGE2)F(~AGE),13.66112698,1.74E-04,37,4964.82545
S(~AGE * BCI + AGE * NAO + AGE * EKTO + AGE * ENDO + MORPH)p(~TIME)r(~AGE2)F(~1),13.68128779,1.72E-04,37,4964.845611
S(~AGE + BCI + NAO + EKTO + ENDO + MORPH + SEX)p(~TIME)r(~AGE2)F(~AGE),13.74111997,1.67E-04,29,4981.236502
S(~AGE * BCI + AGE * NAO + AGE * EKTO + MORPH + SEX)p(~TIME)r(~AGE2)F(~AGE + SEX),13.79617053,1.62E-04,38,4962.913458
S(~AGE + NAO)p(~TIME + AGE)r(~AGE2)F(~1),13.87831253,1.56E-04,23,836.5052302
S(~AGE * BCI + AGE * NAO + AGE * EKTO)p(~TIME + AGE)r(~AGE2)F(~AGE + SEX),13.94483787,1.51E-04,38,4963.062126
S(~AGE * BCI + AGE * NAO + AGE * EKTO + AGE * ENDO + MORPH)p(~TIME + AGE)r(~AGE2)F(~1),14.0043811,1.46E-04,39,4961.073374
S(~AGE * NAO)p(~TIME + AGE)r(~AGE2)F(~AGE + SEX),14.06728456,1.42E-04,30,822.4614316
S(~AGE * BCI + AGE * NAO + AGE * EKTO + MORPH + SEX)p(~TIME)r(~AGE2)F(~AGE),14.0895816,1.40E-04,37,4965.253905
S(~AGE * BCI + AGE * NAO + AGE * ENDO + SEX)p(~TIME + AGE)r(~AGE2)F(~AGE),14.17392444,1.34E-04,38,4963.291212
S(~AGE + BCI + NAO + EKTO + ENDO + MORPH)p(~TIME)r(~AGE2)F(~AGE + SEX),14.26283702,1.28E-04,29,4981.758219
S(~AGE * NAO + SEX)p(~TIME + AGE)r(~AGE2)F(~AGE),14.34565313,1.23E-04,30,822.7398001
S(~AGE * BCI + AGE * NAO + AGE * EKTO + MORPH)p(~TIME + AGE)r(~AGE2)F(~AGE),14.36142001,1.22E-04,38,4963.478708
S(~AGE * BCI + AGE * NAO + AGE * EKTO + MORPH)p(~TIME)r(~AGE2)F(~AGE + SEX),14.52094834,1.13E-04,37,4965.685272
S(~AGE * BCI + AGE * NAO + AGE * EKTO + AGE * ENDO + SEX)p(~TIME)r(~AGE2)F(~1),14.60077022,1.08E-04,37,4965.765094
S(~AGE + NAO)p(~TIME)r(~AGE2)F(~1),14.75464278,1.00E-04,21,841.4368639
S(~AGE * BCI + AGE * NAO + AGE * EKTO + AGE * ENDO + SEX)p(~TIME + AGE)r(~AGE2)F(~1),14.76377174,1.00E-04,39,4961.832764
S(~AGE + BCI + NAO + EKTO + ENDO + MORPH + SEX)p(~TIME + AGE)r(~AGE2)F(~AGE),14.82882951,9.68E-05,31,4978.248968
S(~AGE * BCI + AGE * NAO + AGE * EKTO + AGE * ENDO + MORPH + SEX)p(~TIME)r(~AGE2)F(~1),14.90897277,9.30E-05,38,4964.026261
S(~AGE * BCI + AGE * NAO + AGE * EKTO + SEX)p(~TIME + AGE)r(~AGE2)F(~AGE),14.99208012,8.92E-05,38,4964.109368
S(~AGE * BCI + AGE * NAO + AGE * EKTO + AGE * ENDO)p(~TIME)r(~AGE2)F(~SEX),15.17960958,8.12E-05,37,4966.343933
S(~AGE + BCI + NAO + EKTO + ENDO + MORPH)p(~TIME + AGE)r(~AGE2)F(~AGE + SEX),15.26101762,7.80E-05,31,4978.681156
S(~AGE + NAO)p(~TIME + AGE)r(~AGE2)F(~SEX),15.27425566,7.75E-05,24,835.871658
S(~AGE * BCI + AGE * NAO + AGE * EKTO + AGE * ENDO + MORPH)p(~TIME)r(~AGE2)F(~SEX),15.31106899,7.60E-05,38,4964.428357
S(~AGE * BCI + AGE * NAO + AGE * EKTO + AGE * ENDO + MORPH + SEX)p(~TIME + AGE)r(~AGE2)F(~1),15.3176948,7.58E-05,40,4960.337131
S(~AGE * BCI + AGE * NAO + AGE * EKTO + AGE * ENDO)p(~TIME + AGE)r(~AGE2)F(~SEX),15.33081328,7.53E-05,39,4962.399806
S(~AGE + NAO + SEX)p(~TIME + AGE)r(~AGE2)F(~1),15.58682294,6.62E-05,24,836.1843
S(~AGE * BCI + AGE * NAO + AGE * EKTO + MORPH + SEX)p(~TIME + AGE)r(~AGE2)F(~AGE + SEX),15.62137638,6.51E-05,40,4960.640812
S(~AGE * BCI + AGE * NAO + AGE * EKTO + AGE * ENDO + MORPH)p(~TIME + AGE)r(~AGE2)F(~SEX),15.72016437,6.20E-05,40,4960.7396
S(~AGE * BCI + AGE * NAO + AGE * EKTO + MORPH + SEX)p(~TIME + AGE)r(~AGE2)F(~AGE),15.80862456,5.93E-05,39,4962.877617
S(~AGE * BCI + AGE * NAO + AGE * EKTO + MORPH)p(~TIME + AGE)r(~AGE2)F(~AGE + SEX),16.01680363,5.34E-05,39,4963.085796
S(~AGE + NAO + EKTO + ENDO + SEX)p(~TIME + AGE)r(~AGE2)F(~SEX),16.12285832,5.07E-05,27,4987.688485
S(~AGE + NAO)p(~TIME)r(~AGE2)F(~SEX),16.17856665,4.93E-05,22,840.8337569
S(~AGE + NAO + SEX)p(~TIME)r(~AGE2)F(~1),16.38547633,4.44E-05,22,841.0407413
S(~AGE + NAO + EKTO + ENDO + SEX)p(~TIME)r(~AGE2)F(~SEX),16.66143701,3.87E-05,25,4992.292319
