Model,DeltaQAICc,weight,npar,QDeviance
S(~AGE + BCI + NAO + EKTO + MORPH)p(~AGE)r(~AGE2)F(~AGE + SEX),52.75170572,5.64E-13,18,5042.571819
S(~AGE + BCI + NAO + EKTO + ENDO + MORPH)p(~AGE)r(~AGE2)F(~AGE),52.79703022,5.51E-13,18,5042.617144
S(~AGE + BCI + NAO)p(~AGE)r(~AGE2)F(~AGE + SEX),52.84287739,5.38E-13,16,5046.705906
S(~AGE * BCI + AGE * NAO + AGE * EKTO + MORPH)p(~AGE)r(~AGE2)F(~1),53.04786102,4.86E-13,23,5032.739017
S(~AGE + BCI + NAO + EKTO + ENDO + MORPH + SEX)p(~AGE)r(~AGE2)F(~AGE + SEX),53.32451713,4.23E-13,20,5039.096767
S(~AGE * BCI + AGE * NAO)p(~AGE)r(~AGE2)F(~AGE),53.35871778,4.16E-13,21,5037.105177
S(~AGE * BCI + AGE * NAO + AGE * ENDO)p(~AGE)r(~AGE2)F(~1),53.47196476,3.93E-13,22,5035.191394
S(~AGE * BCI + AGE * NAO + AGE * EKTO)p(~AGE)r(~AGE2)F(~1),53.53939148,3.80E-13,22,5035.25882
S(~AGE * NAO + SEX)p(~AGE)r(~AGE2)F(~1),53.57320762,3.74E-13,15,892.3916026
S(~AGE + BCI + NAO + EKTO)p(~AGE)r(~AGE2)F(~AGE + SEX),53.61449323,3.66E-13,17,5045.456682
S(~AGE * NAO)p(~AGE)r(~AGE2)F(~SEX),53.91078925,3.16E-13,15,892.7291842
S(~AGE + NAO + SEX)p(~AGE)r(~AGE2)F(~SEX),53.98733909,3.04E-13,13,896.8412435
S(~AGE + NAO)p(~AGE)r(~AGE2)F(~1),54.0134099,3.00E-13,11,900.8978978
S(~AGE * BCI + AGE * NAO + AGE * EKTO + MORPH + SEX)p(~AGE)r(~AGE2)F(~1),54.09629146,2.88E-13,24,5031.757932
S(~AGE + BCI + NAO + EKTO + ENDO + MORPH + SEX)p(~AGE)r(~AGE2)F(~AGE),54.13248581,2.83E-13,19,5041.929287
S(~AGE * BCI + AGE * NAO + AGE * EKTO + SEX)p(~AGE)r(~AGE2)F(~1),54.40714787,2.46E-13,23,5034.098304
S(~AGE * BCI + AGE * NAO + AGE * ENDO + SEX)p(~AGE)r(~AGE2)F(~1),54.41132937,2.46E-13,23,5034.102486
S(~AGE * BCI + AGE * NAO + SEX)p(~AGE)r(~AGE2)F(~AGE),54.43624901,2.43E-13,22,5036.155678
S(~AGE * BCI + AGE * NAO + AGE * EKTO + MORPH)p(~AGE)r(~AGE2)F(~SEX),54.76779589,2.06E-13,24,5032.429437
S(~AGE + BCI + NAO + EKTO + ENDO + MORPH)p(~AGE)r(~AGE2)F(~AGE + SEX),54.76904483,2.06E-13,19,5042.565846
S(~AGE * BCI + AGE * NAO + AGE * ENDO)p(~AGE)r(~AGE2)F(~SEX),55.29773314,1.58E-13,23,5034.988889
S(~AGE * BCI + AGE * NAO + AGE * EKTO)p(~AGE)r(~AGE2)F(~SEX),55.31386179,1.57E-13,23,5035.005018
S(~AGE + NAO + SEX)p(~AGE)r(~AGE2)F(~1),55.45977557,1.46E-13,12,900.3295869
S(~AGE + NAO)p(~AGE)r(~AGE2)F(~SEX),55.69162493,1.30E-13,12,900.5614362
S(~AGE * BCI + AGE * NAO)p(~AGE)r(~AGE2)F(~AGE + SEX),56.69470813,7.85E-14,22,5038.414137
S(~AGE + NAO + EKTO + ENDO + SEX)p(~AGE)r(~AGE2)F(~SEX),57.11217709,6.37E-14,15,5052.994811
S(~AGE + NAO + EKTO + ENDO)p(~AGE)r(~AGE2)F(~1),57.26026049,5.91E-14,13,5057.178403
S(~AGE * NAO + SEX)p(~AGE)r(~AGE2)F(~AGE + SEX),57.48537844,5.28E-14,19,888.2179409
S(~AGE + NAO + EKTO + ENDO + MORPH)p(~AGE)r(~AGE2)F(~1),57.52475218,5.18E-14,14,5055.425757
S(~AGE * BCI + AGE * NAO + AGE * EKTO + AGE * ENDO + MORPH + SEX)p(~AGE)r(~AGE2)F(~SEX),57.57020581,5.07E-14,29,5025.065588
S(~AGE + NAO + EKTO + ENDO + MORPH + SEX)p(~AGE)r(~AGE2)F(~SEX),57.641151,4.89E-14,16,5051.50418
S(~AGE * BCI + AGE * NAO + AGE * EKTO + AGE * ENDO + SEX)p(~AGE)r(~AGE2)F(~SEX),57.66097701,4.84E-14,28,5027.192105
S(~AGE * BCI + AGE * NAO + AGE * EKTO + SEX)p(~AGE)r(~AGE2)F(~AGE + SEX),57.73343331,4.67E-14,27,5029.29906
S(~AGE * NAO)p(~AGE)r(~AGE2)F(~AGE),57.79689132,4.52E-14,17,892.574842
S(~AGE * BCI + AGE * NAO + AGE * ENDO + SEX)p(~AGE)r(~AGE2)F(~AGE + SEX),58.19616131,3.70E-14,27,5029.761788
S(~AGE * BCI + AGE * NAO + AGE * EKTO + AGE * ENDO + MORPH)p(~AGE)r(~AGE2)F(~1),58.45892391,3.25E-14,27,5030.02455
S(~AGE + NAO + EKTO + ENDO + SEX)p(~AGE)r(~AGE2)F(~1),58.72006441,2.85E-14,14,5056.621069
S(~AGE + NAO + EKTO + ENDO)p(~AGE)r(~AGE2)F(~SEX),58.89598617,2.61E-14,14,5056.796991
S(~AGE * BCI + AGE * NAO + AGE * EKTO + AGE * ENDO)p(~AGE)r(~AGE2)F(~1),58.92232866,2.58E-14,26,5032.521206
S(~AGE * BCI + AGE * NAO + AGE * ENDO)p(~AGE)r(~AGE2)F(~AGE),59.04790463,2.42E-14,25,5034.678786
S(~AGE * NAO + SEX)p(~AGE)r(~AGE2)F(~AGE),59.05644012,2.41E-14,18,891.8123152
S(~AGE * BCI + AGE * NAO + AGE * EKTO + MORPH + SEX)p(~AGE)r(~AGE2)F(~AGE + SEX),59.08776525,2.37E-14,28,5028.618894
S(~AGE + NAO + EKTO + ENDO + MORPH + SEX)p(~AGE)r(~AGE2)F(~1),59.0936117,2.36E-14,15,5054.976245
S(~AGE + NAO + EKTO + ENDO + MORPH)p(~AGE)r(~AGE2)F(~SEX),59.10264674,2.35E-14,15,5054.98528
S(~AGE * BCI + AGE * NAO + AGE * EKTO + MORPH)p(~AGE)r(~AGE2)F(~AGE),59.22078337,2.22E-14,26,5032.819661
S(~AGE + NAO + SEX)p(~AGE)r(~AGE2)F(~AGE + SEX),59.22332684,2.22E-14,16,896.0221171
S(~AGE + NAO)p(~AGE)r(~AGE2)F(~AGE),59.26664646,2.17E-14,14,900.1034871
S(~AGE * BCI + AGE * NAO + AGE * EKTO)p(~AGE)r(~AGE2)F(~AGE),59.40221226,2.03E-14,25,5035.033094
S(~AGE * BCI + AGE * NAO + AGE * EKTO + AGE * ENDO + MORPH + SEX)p(~AGE)r(~AGE2)F(~1),59.47485287,1.95E-14,28,5029.005981
S(~AGE * NAO)p(~AGE)r(~AGE2)F(~AGE + SEX),59.68291873,1.76E-14,18,892.4387938
S(~AGE * BCI + AGE * NAO + AGE * EKTO + AGE * ENDO + SEX)p(~AGE)r(~AGE2)F(~1),59.75817634,1.70E-14,27,5031.323803
S(~AGE * BCI + AGE * NAO + AGE * EKTO + AGE * ENDO + MORPH)p(~AGE)r(~AGE2)F(~SEX),60.16674212,1.38E-14,28,5029.697871
S(~AGE + NAO + SEX)p(~AGE)r(~AGE2)F(~AGE),60.22194523,1.35E-14,15,899.0404149
S(~AGE * BCI + AGE * NAO + AGE * ENDO + SEX)p(~AGE)r(~AGE2)F(~AGE),60.24562472,1.33E-14,26,5033.844502
S(~AGE * BCI + AGE * NAO + AGE * EKTO + MORPH)p(~AGE)r(~AGE2)F(~AGE + SEX),60.40727986,1.23E-14,27,5031.972906
S(~AGE * BCI + AGE * NAO + AGE * EKTO + MORPH + SEX)p(~AGE)r(~AGE2)F(~AGE),60.41952569,1.22E-14,27,5031.985152
S(~AGE * BCI + AGE * NAO + AGE * EKTO + SEX)p(~AGE)r(~AGE2)F(~AGE),60.45193704,1.20E-14,26,5034.050814
S(~AGE * BCI + AGE * NAO + AGE * EKTO + AGE * ENDO)p(~AGE)r(~AGE2)F(~SEX),60.68714182,1.07E-14,27,5032.252768
S(~AGE + NAO)p(~AGE)r(~AGE2)F(~AGE + SEX),61.257091,8.02E-15,15,900.075486
S(~AGE + NAO + EKTO + ENDO)p(~AGE)r(~AGE2)F(~AGE),62.00693782,5.51E-15,16,5055.869967
S(~AGE * NAO + AGE * EKTO + AGE * ENDO + MORPH + SEX)p(~AGE)r(~AGE2)F(~SEX),62.14281351,5.15E-15,25,5037.773695
S(~AGE + NAO + EKTO + ENDO + SEX)p(~AGE)r(~AGE2)F(~AGE + SEX),62.36990715,4.60E-15,18,5052.190021
S(~AGE * BCI + AGE * NAO + AGE * ENDO)p(~AGE)r(~AGE2)F(~AGE + SEX),62.38184958,4.57E-15,26,5035.980727
S(~AGE + NAO + EKTO + ENDO + MORPH)p(~AGE)r(~AGE2)F(~AGE),62.56664111,4.17E-15,17,5054.40883
S(~AGE * NAO + AGE * EKTO + AGE * ENDO + MORPH)p(~AGE)r(~AGE2)F(~1),62.67278272,3.95E-15,23,5042.363939
S(~AGE + NAO + EKTO + ENDO + MORPH + SEX)p(~AGE)r(~AGE2)F(~AGE + SEX),63.06036605,3.25E-15,19,5050.857167
S(~AGE * BCI + AGE * NAO + AGE * EKTO + AGE * ENDO + SEX)p(~AGE)r(~AGE2)F(~AGE + SEX),63.16587324,3.09E-15,31,5026.586012
S(~AGE * BCI + AGE * NAO + AGE * EKTO)p(~AGE)r(~AGE2)F(~AGE + SEX),63.27713904,2.92E-15,26,5036.876016
S(~AGE + NAO + EKTO + ENDO + SEX)p(~AGE)r(~AGE2)F(~AGE),63.62844395,2.45E-15,17,5055.470633
S(~AGE * NAO + AGE * EKTO + AGE * ENDO + MORPH + SEX)p(~AGE)r(~AGE2)F(~1),64.02773219,2.01E-15,24,5041.689373
S(~AGE * NAO + AGE * EKTO + AGE * ENDO + MORPH)p(~AGE)r(~AGE2)F(~SEX),64.16064422,1.88E-15,24,5041.822285
S(~AGE + NAO + EKTO + ENDO)p(~AGE)r(~AGE2)F(~AGE + SEX),64.71219968,1.42E-15,17,5056.554389
S(~AGE * BCI + AGE * NAO + AGE * EKTO + AGE * ENDO + MORPH + SEX)p(~AGE)r(~AGE2)F(~AGE + SEX),64.85412619,1.33E-15,32,5026.234765
S(~AGE * BCI + AGE * NAO + AGE * EKTO + AGE * ENDO + MORPH)p(~AGE)r(~AGE2)F(~AGE),65.01216685,1.23E-15,30,5030.470552
S(~AGE * BCI + AGE * NAO + AGE * EKTO + AGE * ENDO + MORPH + SEX)p(~AGE)r(~AGE2)F(~AGE),65.15074266,1.14E-15,31,5028.570881
S(~AGE + NAO + EKTO + ENDO + MORPH + SEX)p(~AGE)r(~AGE2)F(~AGE),65.33907229,1.04E-15,18,5055.159186
S(~AGE + NAO + EKTO + ENDO + MORPH)p(~AGE)r(~AGE2)F(~AGE + SEX),65.456005,0,18,5055.276119
S(~AGE * BCI + AGE * NAO + AGE * EKTO + AGE * ENDO + SEX)p(~AGE)r(~AGE2)F(~AGE),65.51670988,0,30,5030.975095
S(~AGE * BCI + AGE * NAO + AGE * EKTO + AGE * ENDO + MORPH)p(~AGE)r(~AGE2)F(~AGE + SEX),65.82052969,0,31,5029.240668
S(~AGE * BCI + AGE * NAO + AGE * EKTO + AGE * ENDO)p(~AGE)r(~AGE2)F(~AGE),66.84948156,0,29,5034.344863
S(~AGE * BCI + AGE * NAO + AGE * EKTO + AGE * ENDO)p(~AGE)r(~AGE2)F(~AGE + SEX),68.88662718,0,30,5034.345013
S(~AGE * NAO + AGE * EKTO + AGE * ENDO + MORPH)p(~AGE)r(~AGE2)F(~AGE + SEX),69.1475152,0,27,5040.713142
S(~AGE * NAO + AGE * EKTO + AGE * ENDO + MORPH)p(~AGE)r(~AGE2)F(~AGE),69.31224122,0,26,5042.911118
S(~AGE * NAO + AGE * EKTO + AGE * ENDO + MORPH + SEX)p(~AGE)r(~AGE2)F(~AGE + SEX),69.63806829,0,28,5039.169197
S(~AGE * NAO + AGE * EKTO + AGE * ENDO + MORPH + SEX)p(~AGE)r(~AGE2)F(~AGE),70.7940563,0,27,5042.359683
S(~AGE + BCI + SEX)p(~AGE)r(~AGE2)F(~SEX),70.91353673,0,13,5070.83168
S(~AGE + BCI)p(~AGE)r(~AGE2)F(~1),71.09880329,0,11,5075.04753
S(~AGE + BCI + EKTO + ENDO + SEX)p(~AGE)r(~AGE2)F(~SEX),72.26340177,0,15,5068.146035
S(~AGE + BCI + SEX)p(~AGE)r(~AGE2)F(~1),72.40770208,0,12,5074.341752
S(~AGE + BCI + EKTO + ENDO + MORPH + SEX)p(~AGE)r(~AGE2)F(~SEX),72.51079632,0,16,5066.373825
S(~AGE + BCI + EKTO + ENDO)p(~AGE)r(~AGE2)F(~1),72.75720579,0,13,5072.675349
S(~AGE + BCI + EKTO + ENDO + MORPH)p(~AGE)r(~AGE2)F(~1),72.78215714,0,14,5070.683162
S(~AGE + BCI)p(~AGE)r(~AGE2)F(~SEX),72.87543296,0,12,5074.809483
S(~AGE + BCI + EKTO + ENDO + SEX)p(~AGE)r(~AGE2)F(~1),74.05139236,0,14,5071.952397
S(~AGE + BCI + EKTO + ENDO + MORPH + SEX)p(~AGE)r(~AGE2)F(~1),74.18524998,0,15,5070.067883
S(~AGE * BCI)p(~AGE)r(~AGE2)F(~1),74.4381813,0,14,5072.339186
S(~AGE + BCI + EKTO + ENDO + MORPH)p(~AGE)r(~AGE2)F(~SEX),74.44928197,0,15,5070.331915
S(~AGE + BCI + EKTO + ENDO)p(~AGE)r(~AGE2)F(~SEX),74.47850292,0,14,5072.379507
S(~AGE * BCI + SEX)p(~AGE)r(~AGE2)F(~SEX),74.53061115,0,16,5068.39364
S(~AGE + BCI)p(~AGE)r(~AGE2)F(~AGE),74.6588302,0,14,5072.559835
S(~AGE + BCI + SEX)p(~AGE)r(~AGE2)F(~AGE + SEX),75.53036349,0,16,5069.393392
S(~AGE * BCI + SEX)p(~AGE)r(~AGE2)F(~1),75.83096972,0,15,5071.713603
S(~AGE + BCI + SEX)p(~AGE)r(~AGE2)F(~AGE),76.22544964,0,15,5072.108083
S(~AGE * BCI)p(~AGE)r(~AGE2)F(~SEX),76.24113027,0,15,5072.123764
S(~AGE + BCI + EKTO + ENDO)p(~AGE)r(~AGE2)F(~AGE),76.39660644,0,16,5070.259635
S(~AGE + BCI)p(~AGE)r(~AGE2)F(~AGE + SEX),76.67481177,0,15,5072.557445
S(~AGE + BCI + EKTO + ENDO + SEX)p(~AGE)r(~AGE2)F(~AGE + SEX),76.84985141,0,18,5066.669965
S(~AGE + BCI + EKTO + ENDO + MORPH)p(~AGE)r(~AGE2)F(~AGE),77.02971003,0,17,5068.871899
S(~AGE * BCI)p(~AGE)r(~AGE2)F(~AGE),77.51110545,0,17,5069.353295
S(~AGE + BCI + EKTO + ENDO + SEX)p(~AGE)r(~AGE2)F(~AGE),78.21083502,0,17,5070.053024
S(~AGE)p(~AGE)r(~AGE2)F(~1),78.489106,0,10,927.3870413
S(~AGE + BCI + EKTO + ENDO)p(~AGE)r(~AGE2)F(~AGE + SEX),78.63503347,0,17,5070.477223
S(~AGE + SEX)p(~AGE)r(~AGE2)F(~SEX),78.67442961,0,12,923.5442409
S(~AGE + BCI + EKTO + ENDO + MORPH + SEX)p(~AGE)r(~AGE2)F(~AGE),78.71577203,0,18,5068.535886
S(~AGE + BCI + EKTO + ENDO + MORPH)p(~AGE)r(~AGE2)F(~AGE + SEX),79.02871266,0,18,5068.848826
S(~AGE * BCI + SEX)p(~AGE)r(~AGE2)F(~AGE + SEX),79.04617375,0,19,5066.842975
S(~AGE * BCI + SEX)p(~AGE)r(~AGE2)F(~AGE),79.13414625,0,18,5068.95426
S(~AGE * BCI)p(~AGE)r(~AGE2)F(~AGE + SEX),79.51593232,0,18,5069.336046
S(~AGE + BCI + EKTO + ENDO + MORPH + SEX)p(~AGE)r(~AGE2)F(~AGE + SEX),79.61538071,0,19,5067.412182
S(~AGE)p(~AGE)r(~AGE2)F(~SEX),80.02825159,0,11,926.9127395
S(~AGE + SEX)p(~AGE)r(~AGE2)F(~1),80.14548299,0,11,927.0300456
S(~AGE)p(~AGE)r(~AGE2)F(~AGE),82.50085228,0,13,925.3547567
S(~AGE + SEX)p(~AGE)r(~AGE2)F(~AGE + SEX),83.71347445,0,15,922.5318694
S(~AGE)p(~AGE)r(~AGE2)F(~AGE + SEX),84.12530284,0,14,924.9620688
S(~AGE + SEX)p(~AGE)r(~AGE2)F(~AGE),84.14299955,0,14,924.9797655
S(~AGE * BCI + AGE * EKTO + AGE * ENDO + SEX)p(~AGE)r(~AGE2)F(~SEX),84.31048127,0,24,5061.972122
S(~AGE * BCI + AGE * EKTO + AGE * ENDO + SEX + MORPH)p(~AGE)r(~AGE2)F(~SEX),84.51713498,0,25,5060.148017
S(~AGE * BCI + AGE * EKTO + AGE * ENDO + MORPH)p(~AGE)r(~AGE2)F(~1),84.80196363,0,23,5064.49312
S(~AGE * BCI + AGE * EKTO + AGE * ENDO)p(~AGE)r(~AGE2)F(~1),84.828526,0,22,5066.547955
S(~AGE * BCI + AGE * EKTO + AGE * ENDO + SEX)p(~AGE)r(~AGE2)F(~1),86.07187087,0,23,5065.763027
S(~AGE * BCI + AGE * EKTO + AGE * ENDO + SEX + MORPH)p(~AGE)r(~AGE2)F(~1),86.16915893,0,24,5063.8308
S(~AGE * BCI + AGE * EKTO + AGE * ENDO + MORPH)p(~AGE)r(~AGE2)F(~SEX),86.46761364,0,24,5064.129255
S(~AGE * BCI + AGE * EKTO + AGE * ENDO)p(~AGE)r(~AGE2)F(~SEX),86.5557304,0,23,5066.246887
S(~AGE * BCI + AGE * EKTO + AGE * ENDO)p(~AGE)r(~AGE2)F(~AGE),88.88202577,0,25,5064.512907
S(~AGE * BCI + AGE * EKTO + AGE * ENDO + SEX)p(~AGE)r(~AGE2)F(~AGE + SEX),89.19975897,0,27,5060.765385
S(~AGE * BCI + AGE * EKTO + AGE * ENDO + MORPH)p(~AGE)r(~AGE2)F(~AGE),89.65338199,0,26,5063.252259
S(~AGE * BCI + AGE * EKTO + AGE * ENDO + SEX + MORPH)p(~AGE)r(~AGE2)F(~AGE + SEX),90.18432666,0,28,5059.715455
S(~AGE * BCI + AGE * EKTO + AGE * ENDO + SEX)p(~AGE)r(~AGE2)F(~AGE),90.7970228,0,26,5064.3959
S(~AGE * BCI + AGE * EKTO + AGE * ENDO)p(~AGE)r(~AGE2)F(~AGE + SEX),90.84690215,0,26,5064.445779
S(~AGE * BCI + AGE * EKTO + AGE * ENDO + SEX + MORPH)p(~AGE)r(~AGE2)F(~AGE),91.3757081,0,27,5062.941335
S(~AGE * BCI + AGE * EKTO + AGE * ENDO + MORPH)p(~AGE)r(~AGE2)F(~AGE + SEX),91.67573088,0,27,5063.241357
